,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
396,Nikola Vucevic,ORL,62,28,34,32.2,19.6,68.0,44.5,1.8,1.62,0.58,0.288,6.4,8.1,9.0,0.448,0.453,0.820
397,Noah Vonleh,DEN,36,13,23,10.5,3.7,20.9,10.3,0.6,1.81,1.00,0.176,1.1,0.9,2.1,0.341,0.412,0.658
398,Norman Powell,TOR,51,39,12,28.2,15.7,36.5,24.4,1.5,2.50,1.92,0.430,0.5,0.0,0.9,0.667,0.000,1.167
399,Norvel Pelle,PHI,24,12,12,9.7,2.4,13.0,6.4,0.3,1.48,0.33,0.182,1.4,0.2,2.5,0.118,0.800,0.933
400,OG Anunoby,TOR,68,49,19,29.8,10.6,34.3,21.4,1.1,1.93,1.03,0.310,1.1,0.8,2.7,0.494,0.340,0.807
401,Omari Spellman,MIN,49,11,38,18.1,7.6,27.9,19.5,0.8,1.72,0.55,0.271,1.7,2.5,2.6,0.373,0.377,0.711
402,Oshae Brissett,TOR,19,15,4,7.1,1.9,9.6,5.5,0.3,1.72,0.62,0.202,0.2,0.0,1.0,0.500,0.000,1.000
403,Otto Porter Jr.,CHI,14,5,9,23.6,11.9,31.6,20.8,1.4,2.70,1.93,0.377,0.4,0.2,1.6,0.000,0.000,0.455
404,P.J. Tucker,HOU,72,44,28,34.3,6.9,39.5,18.5,0.9,1.31,0.45,0.176,1.2,0.0,1.9,0.190,0.000,0.604
405,P.J. Washington,CHA,57,22,35,30.5,12.4,49.0,29.2,1.3,1.56,0.62,0.253,1.8,3.7,3.8,0.689,0.495,0.843
406,PJ Dozier,DEN,29,18,11,14.2,5.8,26.5,12.3,1.9,4.29,3.59,0.218,0.3,0.0,0.7,0.500,0.000,0.905
407,Pascal Siakam,TOR,59,45,14,35.1,22.8,67.6,33.7,4.0,3.56,2.70,0.338,1.5,3.9,3.1,0.784,0.478,0.875
408,Pat Connaughton,MIL,66,52,14,18.7,5.4,28.3,14.9,1.1,2.28,1.49,0.192,0.6,0.0,1.7,0.622,1.000,0.800
409,Patrick Beverley,LAC,51,38,13,26.3,7.9,52.1,20.9,3.3,3.85,3.19,0.153,0.2,0.0,0.8,0.250,0.000,0.286
410,Patrick McCaw,TOR,36,26,10,24.8,4.6,33.2,17.5,1.5,2.79,1.94,0.140,0.2,0.0,0.7,0.875,0.000,0.538
411,Patrick Patterson,LAC,59,39,20,13.2,4.9,15.9,9.1,0.4,1.36,0.43,0.312,0.4,0.4,0.8,0.435,0.636,0.816
412,Patty Mills,SAS,65,27,38,22.4,11.4,28.7,17.6,1.5,3.23,2.99,0.397,0.3,0.0,0.4,0.381,0.000,0.667
413,Paul George,LAC,48,34,14,29.6,21.5,52.3,28.8,3.2,3.61,2.95,0.411,0.9,1.4,0.6,0.523,0.338,0.677
414,Paul Millsap,DEN,51,30,21,24.3,11.6,33.2,21.4,1.2,2.24,1.17,0.349,0.8,2.2,4.2,0.651,0.691,0.776
415,Paul Watson,TOR,10,7,3,8.7,3.1,11.4,8.1,0.4,2.26,1.61,0.272,0.2,0.0,0.2,1.000,0.000,2.000
416,Quinn Cook,LAL,44,31,13,11.5,5.1,18.9,8.9,1.3,4.26,4.40,0.269,0.0,0.0,0.2,2.000,0.000,1.000
417,Quinndary Weatherspoon,SAS,11,5,6,7.1,1.1,10.9,5.2,0.7,3.61,2.86,0.100,0.2,0.0,0.1,1.000,0.000,0.000
418,RJ Barrett,NYK,56,17,39,30.4,14.3,44.2,30.6,2.5,3.39,2.74,0.324,0.7,0.8,1.7,0.872,0.844,0.915
419,Rajon Rondo,LAL,48,37,11,20.5,7.1,50.4,19.4,4.1,4.82,4.25,0.141,0.3,0.1,0.7,0.143,0.000,0.265
420,Raul Neto,PHI,54,29,25,12.4,5.1,28.7,10.7,2.4,5.11,5.13,0.177,0.1,0.0,0.2,0.667,0.000,0.400
421,Rayjon Tucker,UTA,20,12,8,8.1,3.1,10.1,5.8,0.5,2.73,1.62,0.308,0.0,0.1,0.2,0.000,0.000,0.500
422,Reggie Bullock,NYK,29,9,20,23.6,8.1,33.0,24.3,1.0,1.86,0.80,0.244,0.5,0.0,1.0,0.857,2.000,0.893
423,Reggie Jackson,LAC,31,16,15,24.0,11.9,53.0,19.1,4.4,4.96,4.47,0.225,0.4,0.1,0.6,0.000,0.000,0.667
424,Richaun Holmes,SAC,43,16,27,28.4,12.4,35.6,20.6,0.8,1.42,0.33,0.348,4.3,1.0,8.2,0.770,0.511,1.076
425,Ricky Rubio,PHX,64,32,32,30.9,12.8,77.5,24.2,6.8,5.26,4.83,0.166,0.4,0.1,0.5,0.429,0.667,0.258
426,Robert Covington,HOU,70,27,43,30.5,12.4,51.0,23.4,1.3,1.57,0.51,0.243,0.7,0.0,1.7,0.720,0.000,0.958
427,Robert Williams III,BOS,29,19,10,13.4,5.2,17.5,12.0,0.4,1.24,0.31,0.295,1.2,0.1,3.9,0.500,0.500,1.062
428,Robin Lopez,MIL,66,51,15,14.5,5.4,15.6,11.1,0.4,1.68,0.57,0.346,1.3,1.6,2.2,0.616,0.689,0.814
429,Rodions Kurucs,BKN,47,18,29,14.5,4.6,20.9,11.1,0.6,1.68,0.82,0.219,0.3,0.1,1.1,0.375,0.000,0.889
430,Rodney Hood,POR,21,8,13,29.5,11.0,34.3,20.3,1.6,2.73,1.73,0.319,0.1,1.1,0.7,0.000,0.792,0.714
431,Rodney McGruder,LAC,56,38,18,15.6,3.3,14.7,8.0,0.5,2.05,1.36,0.228,0.3,0.0,0.8,0.429,0.000,0.600
432,Romeo Langford,BOS,32,22,10,11.6,2.5,9.7,6.4,0.4,2.27,1.40,0.256,0.2,0.1,0.6,0.000,0.000,0.737
433,Rondae Hollis-Jefferson,TOR,59,42,17,18.9,7.1,34.4,17.2,1.2,2.09,1.17,0.206,1.7,1.8,4.6,0.580,0.377,0.681
434,Royce O'Neale,UTA,71,44,27,28.9,6.3,47.3,25.8,1.3,1.62,0.78,0.134,0.4,0.0,0.6,0.759,0.000,0.524
435,Rudy Gay,SAS,66,29,37,21.7,10.8,37.6,19.2,1.5,2.42,1.32,0.289,0.7,1.6,1.3,0.551,0.472,0.977
436,Rudy Gobert,UTA,68,42,26,34.3,15.1,61.0,33.1,1.5,1.48,0.36,0.247,4.6,0.7,10.9,0.597,0.479,1.032
437,Rui Hachimura,WAS,48,15,33,30.1,13.5,49.8,28.0,1.8,2.12,1.19,0.272,2.1,1.8,4.4,0.600,0.357,0.876
438,Russell Westbrook,HOU,57,36,21,36.0,27.2,76.8,31.5,5.8,4.49,4.25,0.355,0.8,1.1,2.2,0.558,0.433,0.645
439,Ryan Anderson,HOU,2,1,1,7.0,2.5,5.0,1.5,0.1,1.58,0.00,0.500,0.0,0.0,0.0,0.000,0.000,0.000
440,Ryan Arcidiacono,CHI,58,21,37,16.0,4.5,25.0,13.9,1.3,3.01,2.59,0.180,0.2,0.0,0.6,1.000,0.000,0.781
441,Ryan Broekhoff,PHI,16,9,7,11.2,4.4,14.9,8.1,0.3,1.40,0.49,0.298,0.2,0.0,0.4,0.000,0.000,0.000
442,Sekou Doumbouya,DET,38,10,28,19.8,6.4,26.9,14.2,0.9,1.91,0.85,0.238,0.8,0.3,1.5,0.828,1.091,0.947
443,Semi Ojeleye,BOS,69,46,23,14.6,3.4,18.6,7.4,0.5,1.61,0.58,0.184,0.3,0.1,0.7,0.391,0.000,0.620
444,Serge Ibaka,TOR,54,39,15,26.8,15.4,45.0,28.7,1.1,1.50,0.37,0.342,4.4,1.6,6.2,0.626,0.640,0.893
445,Seth Curry,DAL,62,36,26,24.3,12.0,31.4,21.9,1.7,3.16,2.50,0.381,0.3,0.0,0.3,0.824,0.000,0.938
446,Shabazz Napier,WAS,56,16,40,24.0,10.3,58.4,23.1,4.3,4.46,3.99,0.177,0.3,0.0,0.7,0.438,0.500,0.561
447,Shai Gilgeous-Alexander,OKC,70,43,27,34.7,19.0,60.0,30.9,4.0,4.02,3.65,0.317,0.5,0.0,0.8,0.794,1.000,0.815
448,Shake Milton,PHI,40,23,17,20.1,9.4,36.5,16.2,2.8,4.54,4.08,0.258,0.2,0.0,0.6,0.571,0.000,0.800
449,Shamorie Ponds,TOR,4,4,0,2.6,2.3,6.0,2.5,0.6,5.70,4.92,0.375,0.0,0.0,0.3,0.000,0.000,0.000
450,Shaquille Harrison,CHI,43,14,29,11.3,4.9,18.2,10.4,0.9,2.89,2.14,0.267,0.4,0.0,0.7,0.889,2.000,1.000
451,Sindarius Thornwell,NOP,2,0,2,17.7,8.0,31.0,22.0,1.2,2.25,1.46,0.258,0.0,0.0,0.5,0.000,0.000,0.000
452,Skal Labissiere,ATL,33,14,19,17.2,5.8,22.4,13.5,0.6,1.63,0.37,0.257,2.2,0.9,4.2,0.554,0.200,0.755
453,Solomon Hill,MIA,59,29,30,18.4,5.5,27.9,16.5,0.9,1.83,0.90,0.196,0.5,0.3,0.6,0.400,0.111,0.595
454,Spencer Dinwiddie,BKN,64,30,34,31.2,20.6,70.8,23.2,6.8,5.75,5.15,0.291,0.4,0.2,0.6,0.704,0.364,0.694
455,Stanley Johnson,TOR,25,19,6,6.0,2.4,12.0,4.8,0.8,3.82,2.89,0.199,0.1,0.1,0.3,0.000,0.500,0.571
456,Stanton Kidd,UTA,4,3,1,3.8,0.0,4.5,2.5,0.1,1.18,0.61,0.000,0.0,0.0,0.0,0.000,0.000,0.000
457,Stephen Curry,GSW,5,1,4,27.9,20.8,75.8,32.2,4.5,3.55,3.19,0.274,1.4,0.0,1.8,0.857,0.000,0.667
458,Sterling Brown,MIL,52,39,13,14.7,5.1,22.0,10.9,1.1,2.98,2.31,0.233,0.3,0.1,0.8,0.357,0.000,0.769
459,Steven Adams,OKC,63,40,23,26.7,10.9,54.7,28.7,1.7,1.82,0.41,0.199,5.7,3.9,10.3,0.465,0.567,0.723
460,Svi Mykhailiuk,DET,55,17,38,22.8,9.2,29.5,21.5,1.2,2.45,1.53,0.311,0.2,0.0,0.3,0.727,0.000,0.737
461,T.J. McConnell,IND,71,44,27,18.7,6.5,45.7,13.0,4.1,5.34,5.33,0.143,0.5,0.1,0.6,0.462,0.000,0.348
462,T.J. Warren,IND,67,42,25,32.9,19.8,43.8,32.6,1.8,2.48,1.49,0.451,1.2,0.6,2.5,0.937,0.537,1.271
463,TJ Leaf,IND,28,16,12,7.9,3.0,12.2,5.9,0.3,1.59,0.57,0.246,0.5,0.4,1.4,0.400,0.818,0.789
464,Tacko Fall,BOS,7,5,2,4.6,3.3,6.0,3.6,0.2,2.05,0.69,0.548,0.3,1.3,2.0,0.000,0.556,1.357
465,Taj Gibson,NYK,62,21,41,16.5,6.1,26.7,15.1,0.7,1.51,0.56,0.229,2.2,0.9,3.9,0.511,0.782,0.959
466,Talen Horton-Tucker,LAL,6,2,4,13.5,5.7,25.0,14.3,1.2,2.78,1.89,0.227,0.3,0.0,0.3,1.000,0.000,1.000
467,Tariq Owens,PHX,3,0,3,5.1,1.3,7.0,4.0,0.2,1.33,0.43,0.190,0.0,0.0,0.7,0.000,0.000,1.000
468,Taurean Prince,BKN,64,30,34,29.0,12.1,44.9,23.3,1.6,2.14,1.11,0.269,0.4,0.1,0.9,0.889,0.000,0.655
469,Terance Mann,LAC,41,27,14,8.8,2.4,17.5,6.8,1.3,4.56,4.04,0.138,0.2,0.0,0.6,0.500,0.000,0.542
470,Terence Davis,TOR,71,52,19,16.9,7.6,27.4,14.2,1.5,3.22,2.79,0.280,0.5,0.0,1.1,0.406,2.000,1.038
471,Terrance Ferguson,OKC,56,33,23,22.5,3.9,14.4,12.3,0.3,1.29,0.53,0.274,0.2,0.0,0.7,0.556,0.000,0.541
472,Terrence Ross,ORL,69,31,38,27.4,14.7,29.3,22.3,1.1,2.27,1.26,0.502,0.8,0.0,0.4,0.828,0.000,0.900
473,Terry Rozier,CHA,62,21,41,34.3,18.1,69.9,37.0,4.9,4.21,3.64,0.259,0.4,0.0,0.8,0.444,0.000,0.820
474,Thabo Sefolosha,HOU,41,27,14,10.6,2.2,12.8,5.7,0.3,1.64,0.67,0.176,0.3,0.0,0.7,0.455,0.000,0.700
475,Thaddeus Young,CHI,64,22,42,24.9,10.3,44.2,23.9,1.4,1.88,0.97,0.233,1.5,1.5,2.5,0.495,0.532,0.822
476,Thanasis Antetokounmpo,MIL,19,15,4,6.7,2.9,10.3,6.0,0.4,2.57,2.01,0.282,0.1,0.1,1.0,2.500,0.000,1.105
477,Theo Pinson,NYK,33,15,18,11.1,3.6,24.4,8.5,1.9,4.67,4.00,0.149,0.1,0.0,0.3,0.000,0.000,0.700
478,Thomas Bryant,WAS,46,15,31,24.9,13.2,48.6,28.7,1.3,1.59,0.48,0.273,3.5,1.0,5.8,0.728,0.522,1.089
479,Thon Maker,DET,59,20,39,13.1,4.7,21.2,11.3,0.6,1.63,0.43,0.224,1.3,0.3,2.5,0.419,0.500,0.780
480,Tim Frazier,DET,26,9,17,13.6,3.7,34.9,10.8,3.3,5.62,5.17,0.105,0.3,0.0,0.6,0.222,0.000,0.625
481,Tim Hardaway Jr.,DAL,69,39,30,29.4,16.0,40.3,27.1,1.8,2.68,1.80,0.395,0.3,0.2,0.8,0.333,0.727,0.907
482,Timothe Luwawu-Cabarrot,BKN,47,20,27,18.1,7.8,23.2,13.4,0.8,2.06,1.27,0.335,0.3,0.0,0.7,0.769,0.000,0.824
483,Tobias Harris,PHI,72,43,29,34.3,19.6,60.7,37.2,3.1,3.04,2.05,0.323,1.7,2.5,2.5,0.678,0.730,1.027
484,Tomas Satoransky,CHI,65,22,43,28.9,9.9,63.6,27.1,4.4,4.15,3.91,0.156,0.8,0.3,1.6,0.491,0.235,0.577
485,Tony Bradley,UTA,58,36,22,11.4,4.9,16.8,9.3,0.4,1.27,0.35,0.292,1.3,0.2,3.9,0.784,1.111,0.917
486,Tony Snell,DET,58,18,40,27.8,8.0,35.4,23.3,1.2,2.01,0.91,0.225,0.3,0.0,0.2,0.471,0.000,0.615
487,Torrey Craig,DEN,58,38,20,18.5,5.4,18.7,12.4,0.6,1.86,0.81,0.291,0.5,0.1,1.8,0.433,0.000,0.971
488,Trae Young,ATL,60,18,42,35.3,29.6,87.0,23.3,9.1,6.27,6.03,0.341,0.3,0.0,0.6,0.667,0.000,0.618
489,Tremont Waters,BOS,11,8,3,10.8,3.6,21.9,7.3,1.9,5.20,5.23,0.166,0.0,0.0,0.2,0.000,0.000,1.000
490,Treveon Graham,ATL,55,21,34,16.9,4.4,21.9,12.3,0.7,1.83,0.87,0.202,0.2,0.1,1.3,0.667,0.500,0.667
491,Trevor Ariza,POR,52,21,31,27.9,7.7,32.0,20.9,1.1,2.07,1.04,0.242,0.5,0.3,1.0,0.500,0.133,0.925
492,Trey Burke,DAL,33,16,17,15.8,7.4,31.1,14.6,2.3,4.51,4.08,0.237,0.4,0.0,0.3,0.667,0.000,0.444
493,Trey Lyles,SAS,62,26,36,20.2,6.5,37.4,16.6,1.0,1.58,0.54,0.173,0.6,0.1,1.4,0.421,0.800,0.682
494,Tristan Thompson,CLE,57,19,38,30.2,12.0,53.5,32.8,1.8,2.04,0.77,0.224,3.9,2.5,10.5,0.379,0.444,0.753
495,Troy Brown Jr.,WAS,69,24,45,25.8,10.4,39.5,25.1,1.9,2.87,2.31,0.263,0.6,0.1,1.7,0.909,0.222,0.708
496,Troy Daniels,DEN,47,34,13,11.3,4.3,9.9,7.1,0.3,1.81,1.02,0.431,0.2,0.0,0.4,1.000,0.000,0.611
497,Ty Jerome,PHX,31,16,15,10.6,3.3,21.2,9.4,1.6,4.41,4.20,0.155,0.2,0.0,0.4,0.857,0.000,0.583
498,Tyler Cook,DEN,13,3,10,4.2,1.8,5.2,2.6,0.1,1.74,0.69,0.343,0.2,0.3,0.6,0.000,1.000,1.000
499,Tyler Herro,MIA,55,34,21,27.4,13.5,44.5,25.0,2.4,3.25,2.70,0.303,0.5,0.1,0.6,0.560,0.000,0.875
500,Tyler Johnson,BKN,38,16,22,18.3,7.2,32.4,16.1,1.9,3.42,3.04,0.221,0.4,0.2,0.7,0.429,0.333,0.615
501,Tyler Zeller,SAS,2,1,1,1.9,1.0,3.0,2.5,0.0,0.65,0.17,0.333,0.0,0.0,2.5,0.000,0.000,0.400
502,Tyrone Wallace,ATL,14,3,11,11.5,2.9,16.6,7.1,1.0,3.55,3.22,0.172,0.1,0.1,0.3,1.000,0.000,1.500
503,Tyson Chandler,HOU,26,15,11,8.4,1.3,9.7,3.9,0.2,1.41,0.19,0.134,0.6,0.1,1.7,0.400,0.500,0.698
504,Tyus Jones,MEM,65,32,33,19.0,7.4,43.7,16.4,3.2,4.45,3.96,0.170,0.2,0.0,0.2,0.857,0.000,0.857
505,Udonis Haslem,MIA,4,3,1,11.0,3.0,20.0,11.8,0.5,1.47,0.24,0.150,1.0,0.3,1.8,0.500,0.000,0.286
506,Vic Law,ORL,8,2,6,7.7,1.9,12.6,4.5,0.4,1.75,0.72,0.149,0.3,0.0,0.5,0.000,0.000,0.000
507,Victor Oladipo,IND,19,11,8,27.8,14.5,45.8,26.5,2.9,3.81,3.24,0.316,0.3,0.0,0.6,0.667,0.000,0.500
508,Vince Carter,ATL,60,19,41,14.6,5.0,21.4,12.4,0.7,1.82,0.79,0.232,0.4,0.5,0.4,0.524,0.645,0.591
509,Vincent Poirier,BOS,22,18,4,5.9,1.9,8.3,5.4,0.2,1.61,0.45,0.224,0.6,0.2,1.2,0.286,0.400,0.923
510,Vlatko Cancar,DEN,14,7,7,3.2,1.2,4.2,2.9,0.1,1.58,0.58,0.288,0.2,0.0,0.6,0.667,0.000,1.000
511,Wayne Ellington,NYK,36,9,27,15.5,5.1,18.1,14.6,0.5,1.78,1.00,0.282,0.3,0.0,0.4,0.000,0.000,0.462
512,Wendell Carter Jr.,CHI,43,15,28,29.2,11.3,40.5,25.2,1.1,1.57,0.45,0.278,4.4,1.8,9.0,0.379,0.551,0.759
513,Wenyen Gabriel,POR,29,9,20,7.8,2.2,9.6,4.6,0.2,1.54,0.55,0.226,0.6,0.1,1.2,0.000,0.750,0.800
514,Wes Iwundu,ORL,52,23,29,18.3,5.8,19.0,11.6,0.9,2.82,1.93,0.304,0.3,0.0,1.0,1.000,0.000,0.750
515,Wesley Matthews,MIL,66,51,15,24.5,7.5,22.7,14.8,0.7,1.95,1.17,0.328,0.4,0.1,0.8,0.750,0.667,0.836
516,Will Barton,DEN,58,38,20,33.0,15.1,55.8,32.3,3.3,3.56,2.79,0.270,1.3,0.1,1.9,0.605,0.286,0.841
517,William Howard,HOU,2,1,1,6.6,0.0,9.5,3.0,0.2,1.53,0.58,0.000,0.0,0.0,0.0,0.000,0.000,0.000
518,Willie Cauley-Stein,DAL,53,15,38,20.4,7.3,32.1,18.9,0.9,1.68,0.62,0.228,3.8,1.9,5.6,0.330,0.284,0.860
519,Willy Hernangomez,CHA,30,7,23,12.2,6.2,26.8,16.5,0.7,1.58,0.49,0.233,2.2,2.6,3.7,0.415,0.304,0.928
520,Wilson Chandler,BKN,35,16,19,21.0,5.9,32.4,15.6,1.0,1.86,0.88,0.181,0.5,0.1,0.7,0.500,0.000,0.240
521,Yogi Ferrell,SAC,50,20,30,10.6,4.4,19.2,6.4,1.7,5.33,5.02,0.227,0.1,0.0,0.2,0.400,2.000,0.000
522,Yuta Watanabe,MEM,18,9,9,5.8,2.0,7.8,5.2,0.3,2.31,1.58,0.257,0.4,0.0,0.5,0.429,0.000,0.222
523,Zach Collins,POR,11,8,3,26.4,7.0,31.4,18.5,0.8,1.52,0.38,0.223,2.2,1.5,4.9,0.000,0.706,0.741
524,Zach LaVine,CHI,60,20,40,34.8,25.5,67.5,37.3,4.5,4.03,3.31,0.378,0.7,0.3,1.4,1.070,0.450,1.153
525,Zach Norvell Jr.,GSW,5,2,3,8.2,2.0,10.4,6.4,0.3,1.98,1.37,0.192,0.0,0.2,0.4,0.000,0.000,0.000
526,Zhaire Smith,PHI,7,3,4,4.6,1.1,3.6,2.9,0.1,1.66,0.76,0.320,0.0,0.0,0.3,0.000,0.000,1.000
527,Zion Williamson,NOP,23,11,12,27.5,22.6,45.2,31.4,1.4,1.86,1.12,0.499,3.6,6.9,8.9,0.829,0.503,1.078
528,Zylan Cheatham,NOP,4,2,2,12.8,3.0,17.0,8.3,0.4,1.39,0.56,0.176,1.8,0.0,1.3,0.000,0.000,1.200
